cell	verdict	evidence
exp_native_binding_naturalistic_multirelation_v1	HARD-PASS	FLOOR only
exp_outcome_valence_goal_congruence_v1	HARD_PASS	FLOOR only
exp_pfc_bg_composed_attention_value_gate_v1	HARD_PASS	FLOOR only
exp_pfc_gate_cfrpe_trained_v2	HARD_PASS	FLOOR only
exp_pragmatic_curriculum_dialogue_role_sharded_shard_attention_v1	HARD_PASS_SHARD_ATTENTION_WINS	FLOOR only
exp_propara_bridging_frame_activation_v1	HARD_PASS	FLOOR only
exp_propara_bridging_knowledge_vs_mechanism_v1	HARD_PASS	FLOOR only
exp_propara_schema_pattern_completion_v1	HARD_PASS	FLOOR only
exp_reader_integration_endtoend_whoaffected_v2_extraction_hardened	HARD_PASS_EXTRACTION_FIX_HELPS	FLOOR only
exp_reading_grounding_loop_cycle1_v1	HARD_PASS	FLOOR only
exp_reading_grounding_loop_cycle2_v1	HARD_PASS	FLOOR only
exp_relation_canonicalization_learned_v1	HARD_PASS_relation_canonicalization_lear	FLOOR only
exp_relational_vs_similarity_conflict_viability_probe_v1	HARD_PASS_VIABILITY_GREEN_LIGHT_PENDING_	FLOOR only
exp_representation_canonicalization_v1	HARD_PASS_representation_canonicalizatio	FLOOR only
exp_reversible_role_relational_case_sleep_v1	HARD_PASS_REAL_STRUCTURAL_RULE	FLOOR only
exp_richer_selectional_context_key_v1	HARD_PASS	FLOOR only
exp_situation_bias_prod_wire_discourse_decisive_v1	HARD_PASS	FLOOR only
exp_situation_model_accumulate_vs_overwrite_v1	HARD_PASS	FLOOR only
exp_situation_model_assembly_binding_wm_coref_v1	HARD_PASS	FLOOR only
exp_situation_model_assembly_encoder_retrain_scale_v1	CLEAN_PASS	FLOOR only
exp_situation_model_relation_ablation_v1	HARD_PASS	FLOOR only
exp_social_relational_grounding_axis_v1	HARD_PASS	FLOOR only
exp_state_of_mind_relevance_gather_reasoning_union_v1	HARD_PASS_state_of_mind_gather_load_bear	FLOOR only
exp_substrate_concept_encoder_spoke2_temporal_contiguity_foldiak_trace_v1	HARD_PASS	FLOOR only
exp_substrate_parietal_movable_rebind_phase_diagram_v2_seed_13	HARD_PASS	FLOOR only
exp_substrate_parietal_movable_rebind_phase_diagram_v2_seed_19	HARD_PASS	FLOOR only
exp_substrate_parietal_movable_rebind_phase_diagram_v2_seed_7	HARD_PASS	FLOOR only
exp_substrate_response_planner_frame_slot_composition_v1	HARD_PASS	FLOOR only
exp_substrate_semantic_parser_intent_slot_extraction_v1	HARD_PASS	FLOOR only
exp_theory_of_mind_sally_anne_nested_hrr_v1	HARD_PASS	FLOOR only
exp_unified_self_learning_loop_v3	HARD_PASS	FLOOR only
exp_word_context_affect_superposition_map_v1	HARD_PASS	FLOOR only
diag_stateful_core_gen_curve_v1	SELFTEST_PASS	NEITHER
exp_binding_readcond_encoder_compare_v1	SELFTEST_PASS	NEITHER
exp_cortex_integration_end_to_end_v1	HARD_PASS	NEITHER
exp_cortex_integration_end_to_end_v2	HARD_PASS	NEITHER
exp_cortex_integration_with_noise_channel_v1	HARD_PASS	NEITHER
exp_definitional_grounding_v4	STRUCTURAL_PASS_PENDING_B3	NEITHER
exp_definitional_grounding_v5	STRUCTURAL_PASS_PENDING_B3	NEITHER
exp_definitional_predicate_v6	STRUCTURAL_PASS_PENDING_HANDSCORE	NEITHER
exp_definitional_predicate_v62	STRUCTURAL_PASS_PENDING_HANDSCORE	NEITHER
exp_encoder_alltype_transfer_stress_v1	HARD_PASS	NEITHER
exp_encoder_alltype_transfer_v1	HARD_PASS	NEITHER
exp_encoder_retrain_persist_v1	HARD_PASS	NEITHER
exp_exp_kb_time_decay_eviction_with_reingest_v1	HARD_PASS	NEITHER
exp_hd_fact_store_capacity_and_index_v1	PASS	NEITHER
exp_hd_fact_store_source_trust_vet_v1	PASS	NEITHER
exp_kb_coarse_grain_at_promotion_v1	HARD_PASS	NEITHER
exp_learned_codebook_generalization_gate_v1	HARD_PASS	NEITHER
exp_propara_process_keyed_lookup_v1	HARD_PASS	NEITHER
exp_propara_schema_learned_grounded_binder_v1	HARD_PASS	NEITHER
exp_read_coref_hobbs_centering_resolver_v1	HARD_PASS	NEITHER
exp_reading_grounding_loop_cycle3_groundingfix_v1	STRUCTURAL_PASS_PENDING_B3	NEITHER
exp_situation_model_harder_construction_generalization_v1	SELFTEST_PASS	NEITHER
exp_stage2_int2_binary_pareto_at_cliff_v2_with_asymmetric_ternary_seed_13	HARD_PASS	NEITHER
exp_stage2_int2_binary_pareto_at_cliff_v2_with_asymmetric_ternary_seed_19	HARD_PASS	NEITHER
exp_stage2_int2_binary_pareto_at_cliff_v2_with_asymmetric_ternary_seed_7	HARD_PASS	NEITHER
exp_stated_entity_fate_reading_extractor_v2_highprecision	HARD_PASS_CLEAN_GROW_BY_READING_VIABLE	NEITHER
exp_substrate_director_kb_bio_trio_ingest_v1	HARD_PASS	NEITHER
exp_substrate_director_kb_ingest_v1	HARD_PASS	NEITHER
exp_wm_addressing_heldout_role_warmstart_v1	SELFTEST_PASS	NEITHER
